time,open,high,low,close,volume
2025-04-09 23:00:00,83069,83170,82525,82600,101.2803
2025-04-10 00:00:00,82600,82725,82029,82318,331.0527000000002
2025-04-10 01:00:00,82318,82592,82208,82208,290.7855999999995
2025-04-10 02:00:00,82208,82534,82185,82218,68.2513
2025-04-10 03:00:00,82218,82218,81451,81767,177.6865
2025-04-10 04:00:00,81767,82055,81625,82000,109.6668
2025-04-10 05:00:00,82000,82224,81906,82136,90.3176
2025-04-10 06:00:00,82136,82340,81833,82128,90.6715
2025-04-10 07:00:00,82128,82232,81269,81570,267.8931
2025-04-10 08:00:00,81570,81856,81420,81528,233.0757
2025-04-10 09:00:00,81528,82074,81334,82029,159.5589
2025-04-10 10:00:00,82029,82115,81538,81736,116.663
2025-04-10 11:00:00,81736,81922,81471,81853,117.7647
2025-04-10 12:00:00,81853,82545,81426,81682,558.4377
2025-04-10 13:00:00,81682,81907,80744,80848,523.1793
2025-04-10 14:00:00,80848,81817,80604,81233,423.1448
2025-04-10 15:00:00,81233,81312,78575,78723,940.804
2025-04-10 16:00:00,78723,79642,78426,79427,806.6182
2025-04-10 17:00:00,79427,79646,78568,79281,732.045900000001
2025-04-10 18:00:00,79281,79840,79182,79456,387.5207
2025-04-10 19:00:00,79456,79999,79265,79597,459.4433
2025-04-10 20:00:00,79597,79910,79526,79887,192.5817
2025-04-10 21:00:00,79887,80004,79632,79667,130.9954
2025-04-10 22:00:00,79667,79875,79496,79653,111.8832
2025-04-10 23:00:00,79653,79720,79337,79563,164.7731000000001
2025-04-11 00:00:00,79563,79704,78934,79002,262.1006
2025-04-11 01:00:00,79002,80410,78995,80401,332.0932
2025-04-11 02:00:00,80401,80791,80112,80259,177.266
2025-04-11 03:00:00,80259,80859,80259,80800,152.2486
2025-04-11 04:00:00,80800,81055,80675,80844,84.6582
2025-04-11 05:00:00,80844,80865,80476,80782,60.6755
2025-04-11 06:00:00,80782,81310,80782,81070,141.2097
2025-04-11 07:00:00,81070,81409,80820,81239,134.7747
2025-04-11 08:00:00,81239,81900,80753,81597,540.8385
2025-04-11 09:00:00,81597,82420,81413,82408,314.8309
2025-04-11 10:00:00,82408,82967,82276,82705,325.8967000000001
2025-04-11 11:00:00,82705,82864,81992,82094,418.8695999999998
2025-04-11 12:00:00,82094,82559,81788,82086,474.6686
2025-04-11 13:00:00,82086,83300,81793,82902,466.0442
2025-04-11 14:00:00,82902,82902,81297,81857,772.1725
2025-04-11 15:00:00,81857,82689,81660,82469,430.3404
